bundesliga,2024/2025,germania,DELAY [60],https://www.oddsportal.com/soccer/germany/bundesliga/,regular season - 11,,,bayern munich - fc augsburg,22-11-2024 20:30,10-11-2024 21:30,OK,14-11-2024 11:16,OK,10-11-2024 20:30,OK,14-11-2024 11:14,OK,false,true,22-11-2022 09:55,14-11-2024 11:16
liga,2024/2025,spagna,DELAY [60],https://www.oddsportal.com/soccer/spain/laliga/,regular season - 14,,,getafe - valladolid,22-11-2024 21:00,10-11-2024 23:00,OK,14-11-2024 11:05,OK,11-11-2024 02:00,OK,14-11-2024 10:44,OK,false,true,22-11-2022 09:55,14-11-2024 11:05
pro league,2024/2025,belgio,DELAY [60],https://www.oddsportal.com/football/belgium/jupiler-pro-league/,regular season - 15,,,antwerp - dender,22-11-2024 20:45,10-11-2024 20:30,OK,14-11-2024 11:04,OK,11-11-2024 00:15,OK,14-11-2024 09:24,OK,false,true,22-11-2022 09:55,14-11-2024 11:22
eredivisie,2024/2025,olanda,DELAY [60],https://www.oddsportal.com/football/netherlands/eredivisie/,regular season - 13,,,go ahead eagles - almere city fc,23-11-2024 16:30,10-11-2024 18:45,OK,14-11-2024 10:29,OK,10-11-2024 17:15,OK,14-11-2024 11:22,OK,false,true,22-11-2022 09:55,14-11-2024 11:22
primeira liga,2024/2025,portogallo,DELAY [60],https://www.oddsportal.com/football/portugal/liga-portugal/,regular season - 12,,,farense - estrela,29-11-2024 21:15,10-11-2024 21:45,OK,14-11-2024 11:10,OK,11-11-2024 02:45,OK,14-11-2024 09:49,OK,false,true,22-11-2022 09:55,14-11-2024 11:10
champions league,2024/2025,europa,DELAY [60],https://www.oddsportal.com/football/europe/champions-league/,league stage - 5,,,sparta praha - atletico madrid,26-11-2024 18:45,06-11-2024 23:01,OK,14-11-2024 10:49,OK,06-11-2024 23:45,OK,14-11-2024 09:18,OK,true,true,22-11-2022 09:55,14-11-2024 11:21
conference league,2024/2025,europa,DELAY [60],https://www.oddsportal.com/football/europe/europa-conference-league/,league stage - 4,,,istanbul basaksehir - petrocub,27-11-2024 16:30,07-11-2024 23:00,OK,14-11-2024 11:11,OK,08-11-2024 02:00,OK,14-11-2024 10:04,OK,true,true,22-11-2022 09:55,14-11-2024 11:11
serie b,2024/2025,italia,DELAY [60],https://www.oddsportal.com/soccer/italy/serie-b/,regular season - 14,,,cosenza - modena,23-11-2024 01:00,10-11-2024 19:15,OK,14-11-2024 10:35,OK,10-11-2024 20:00,OK,14-11-2024 11:07,OK,false,true,22-11-2022 09:55,14-11-2024 11:07
superlig,2024/2025,turchia,DELAY [60],https://www.oddsportal.com/football/turkey/super-lig/,regular season - 13,,,eyüpspor - rizespor,23-11-2024 11:30,10-11-2024 19:00,OK,14-11-2024 10:42,OK,10-11-2024 22:00,OK,14-11-2024 09:53,OK,false,true,22-11-2022 09:55,14-11-2024 11:11
europa league,2024/2025,europa,DELAY [60],https://www.oddsportal.com/football/europe/europa-league/,league stage - 5,,,dynamo kyiv - plzen,28-11-2024 18:45,07-11-2024 23:00,OK,14-11-2024 11:13,OK,07-11-2024 23:45,OK,14-11-2024 09:35,OK,true,true,22-11-2022 09:55,14-11-2024 11:20
